c_custkey,c_name,c_address,c_city,c_nation,c_region,c_phone,c_mktsegment
1,Customer#000000001,j5JsirBM9P,MOROCCO  0,MOROCCO,AFRICA,25-104-635-9839,BUILDING
2,Customer#000000002,487LW1dovn6Q4dMVym,JORDAN   0,JORDAN,MIDDLE EAST,23-434-900-7213,AUTOMOBILE
3,Customer#000000003,fkRGN8n,ARGENTINA1,ARGENTINA,AMERICA,11-629-573-6194,AUTOMOBILE
4,Customer#000000004,4u58h f,EGYPT    7,EGYPT,MIDDLE EAST,14-757-951-9827,MACHINERY
5,Customer#000000005,hwBtxkoBF qSW4KrI,CANADA   0,CANADA,AMERICA,13-269-948-8039,HOUSEHOLD
6,Customer#000000006," g1s,pzDenUEBW3O,2 pxu",SAUDI ARA5,SAUDI ARABIA,MIDDLE EAST,30-284-540-8460,AUTOMOBILE
7,Customer#000000007,8OkMVLQ1dK6Mbu6WG9,CHINA    9,CHINA,ASIA,28-601-151-4029,AUTOMOBILE
8,Customer#000000008,"j,pZ,Qp,qtFEo0r0c 92qo",PERU     2,PERU,AMERICA,27-767-193-8671,BUILDING
9,Customer#000000009,vgIql8H6zoyuLMFN,INDIA    2,INDIA,ASIA,18-869-580-1707,FURNITURE
10,Customer#000000010,Vf mQ6Ug9Ucf5OKGYq fs,ETHIOPIA 0,ETHIOPIA,AFRICA,15-782-663-7023,HOUSEHOLD
11,Customer#000000011,cG48rYjF3Aw7xs,UNITED KI6,UNITED KINGDOM,EUROPE,33-924-242-5243,BUILDING
12,Customer#000000012,Sb4gxKs7,JORDAN   7,JORDAN,MIDDLE EAST,23-818-339-9984,HOUSEHOLD
13,Customer#000000013,Ez3ax0D5HnUbeU,CANADA   4,CANADA,AMERICA,13-275-416-1669,BUILDING
14,Customer#000000014,h3GFMzeFf,ARGENTINA2,ARGENTINA,AMERICA,11-698-510-6194,FURNITURE
15,Customer#000000015,3y4KK4CcfNwNCTP0u0p1Rk6,UNITED KI7,UNITED KINGDOM,EUROPE,33-639-391-3956,HOUSEHOLD
16,Customer#000000016,P2IQMff18er,IRAN     3,IRAN,MIDDLE EAST,20-275-121-4443,FURNITURE
17,Customer#000000017,Js JrVHNAyCYMANzPGzvonS,BRAZIL   2,BRAZIL,AMERICA,12-527-532-7752,AUTOMOBILE
18,Customer#000000018,YyukcsqIxlyuXs7,FRANCE   2,FRANCE,EUROPE,16-675-573-1877,BUILDING
19,Customer#000000019,yO0XPkiuSWk0vN Ffc,CHINA    4,CHINA,ASIA,28-245-618-6317,HOUSEHOLD
